Trace 1 X	Trace 1 Y	Trace 2 X	Trace 2 Y	
139028	117291	252422	210063	
139007	117272	252400	210045	
138986	117253	252377	210028	
138965	117233	252355	210010	
138945	117214	252333	209993	
138924	117195	252310	209975	
138903	117176	252288	209958	
138882	117156	252266	209940	
138861	117137	252243	209923	
138840	117118	252221	209905	
138820	117098	252199	209888	
138799	117079	252177	209870	
138778	117060	252154	209853	
138757	117041	252132	209835	
138736	117021	252110	209818	
138715	117002	252087	209800	
138695	116983	252065	209783	
138674	116963	252043	209765	
138653	116944	252020	209748	
138632	116925	251998	209730	
138611	116906	251976	209713	
138590	116886	251953	209695	
138570	116867	251931	209678	
138549	116848	251909	209660	
138528	116828	251886	209643	
138507	116809	251864	209625	
138486	116790	251842	209608	
138465	116771	251819	209590	
138445	116751	251797	209573	
138424	116732	251775	209555	
138403	116713	251752	209538	
138382	116693	251730	209520	
138361	116674	251708	209503	
138340	116655	251685	209485	
138320	116636	251663	209468	
138299	116616	251641	209450	
138278	116597	251619	209433	
138257	116578	251596	209415	
138236	116558	251574	209398	
138215	116539	251552	209380	
138195	116520	251529	209363	
138174	116501	251507	209345	
138153	116481	251485	209328	
138132	116462	251462	209310	
138111	116443	251440	209293	
138090	116423	251418	209275	
138070	116404	251395	209258	
138049	116385	251373	209240	
138028	116366	251351	209223	
138007	116346	251328	209205	
137986	116327	251306	209188	
137965	116308	251284	209170	
137945	116288	251261	209153	
137924	116269	251239	209135	
137903	116250	251217	209118	
137882	116231	251194	209100	
137861	116211	251172	209083	
137840	116192	251150	209065	
137820	116173	251127	209048	
137799	116153	251105	209030	
137778	116134	251083	209013	
137757	116115	251061	208995	
137736	116096	251038	208978	
137715	116076	251016	208960	
137695	116057	250994	208943	
137674	116038	250971	208925	
137653	116018	250949	208908	
137632	115999	250927	208890	
137611	115980	250904	208873	
137590	115961	250882	208855	
137570	115941	250860	208838	
137549	115922	250837	208820	
137528	115903	250815	208803	
137507	115883	250793	208785	
137486	115864	250770	208768	
137465	115845	250748	208750	
137445	115826	250726	208733	
137424	115806	250703	208715	
137403	115787	250681	208698	
137382	115768	250659	208680	
137361	115748	250636	208663	
137340	115729	250614	208645	
137320	115710	250592	208628	
137299	115691	250569	208610	
137278	115671	250547	208593	
137257	115652	250525	208575	
137236	115633	250502	208558	
137215	115613	250480	208540	
137195	115594	250458	208523	
137174	115575	250436	208505	
137153	115556	250413	208488	
137132	115536	250391	208470	
137111	115517	250369	208453	
137090	115498	250346	208435	
